,기준연도,학교종류,설립구분,지역,상태,학교,입학금,수업료,등록금,인문사회,자연과학,예체능,공학,의학,온라인,사립구분
46,2019,대학교,사립,광주,기존,광주대학교,294000.0,6537000.0,6537000.0,6075900.0,6981800.0,7006900.0,6965600.0,,off,사립
47,2019,대학교,사립,광주,기존,광주여자대학교,321000.0,6273800.0,6273800.0,5577000.0,6800400.0,6424000.0,,,off,사립
48,2019,대학교,사립,서울,기존,국민대학교,529000.0,7904200.0,7904200.0,6850800.0,7893200.0,8975800.0,8646900.0,,off,사립
49,2019,사이버대학(대학),사립,경기,기존,국제사이버대학교,200000.0,2545100.0,2545100.0,2435500.0,,3033800.0,,,on,사립
50,2019,대학교,국립,전북,기존,군산대학교,,3926200.0,3926200.0,3318000.0,3901000.0,4163600.0000000005,4238000.0,,off,국공립
51,2019,대학교,사립,충북,기존,극동대학교,398000.0,7405800.0,7405800.0,6440900.0,7642200.0,7924800.0,8090300.0,,off,사립
52,2019,사이버대학(대학),사립,충남,기존,글로벌사이버대학교,300000.0,2444100.0,2444100.0,2436900.0,,2465200.0,,,on,사립
53,2019,대학교,사립,충남,기존,금강대학교,410000.0,6564000.0,6564000.0,6564000.0,,,6564000.0,,off,사립
54,2019,대학교,국립,경북,기존,금오공과대학교,,3772000.0,3772000.0,3400000.0,3536000.0,,3792000.0,,off,국공립
55,2019,대학교,사립,경북,기존,김천대학교,546000.0,7005000.0,7005000.0,6502000.0,7127500.0,7272000.0,7272000.0,,off,사립
56,2019,대학교,사립,충남,기존,나사렛대학교,450000.0,7119500.0,7119500.0,6603000.0,8057600.0,7948000.0,,,off,사립
57,2019,대학교,사립,광주,기존,남부대학교,334000.0,6505100.0,6505100.0,5807200.0,6543400.0,7056000.0,7056000.0,,off,사립
58,2019,대학교,사립,충남,기존,남서울대학교,360000.0,7815000.0,7815000.0,7064900.0,8952000.0,8492600.0,8300000.0,,off,사립
59,2019,대학교,사립,경기,기존,단국대학교,618000.0,8004900.0,8004900.0,6899000.0,8372000.0,9085600.0,8903300.0,,off,사립
60,2019,대학교,사립,충남,기존,단국대학교 _제2캠퍼스,618000.0,8183500.0,8183500.0,6760800.0,8698300.0,8464800.0,8832000.0,10326000.0,off,사립
61,2019,대학교,사립,경북,기존,대구가톨릭대학교,432000.0,7165900.0,7165900.0,5861000.0,7837200.0,8551500.0,7951400.0,9610000.0,off,사립
63,2019,교육대학,국립,대구,기존,대구교육대학교,,3604000.0,3604000.0,3604000.0,3604000.0,3604000.0,,,off,국공립
64,2019,대학교,사립,경북,기존,대구대학교,408000.0,6808300.0,6808300.0,5815100.0,7412000.0,8278900.0,8014000.0,,off,사립
65,2019,사이버대학(대학),사립,경북,기존,대구사이버대학교,200000.0,2411400.0,2411400.0,2414200.0,2407800.0,,,,on,사립
66,2019,대학교,사립,경북,기존,대구예술대학교,390000.0,8286100.0,8286100.0,,,8286100.0,,,off,사립
67,2019,대학교,사립,경북,기존,대구한의대학교,408000.0,7218900.0,7218900.0,5730300.0,7501200.0,7340000.0,7776000.0,9260000.0,off,사립
68,2019,대학교,사립,경북,기존,대신대학교,330000.0,6349300.0,6349300.0,5906300.0,,7216000.0,,,off,사립
69,2019,대학교,사립,세종,기존,대전가톨릭대학교,300000.0,5760000.0,5760000.0,5760000.0,,,,,off,사립
70,2019,대학교,사립,대전,기존,대전대학교,462000.0,7260900.0,7260900.0,6600200.0,7537500.0,7753800.0,7885400.0,9350000.0,off,사립
71,2019,대학교,사립,대전,기존,대전신학대학교,360000.0,5956000.0,5956000.0,5956000.0,,,,,off,사립
72,2019,대학교,사립,경기,기존,대진대학교,539000.0,7161900.0,7161900.0,6146000.0,7542700.0,8118000.0,8118000.0,,off,사립
73,2019,대학교,사립,서울,기존,덕성여자대학교,635000.0,7072000.0,7072000.0,6113800.0,8009000.0,8561100.0,8404000.0,,off,사립
74,2019,대학교,사립,서울,기존,동국대학교,696000.0,7939200.0,7939200.0,6938000.0,8383700.000000001,8842900.0,9160000.0,,off,사립
75,2019,대학교,사립,경북,기존,동국대학교(경주) _분교,609000.0,7807600.0,7807600.0,6938000.0,8383900.0,8742700.0,9136000.0,9496000.0,off,사립
76,2019,대학교,사립,서울,기존,동덕여자대학교,462000.0,7394500.0,7394500.0,6026000.0,7720600.0,8721800.0,,,off,사립
77,2019,대학교,사립,부산,기존,동명대학교,330000.0,6944800.0,6944800.0,5704900.0,7336000.0,7616800.0,7738000.0,,off,사립
78,2019,대학교,사립,부산,기존,동서대학교,339000.0,6807300.0,6807300.0,5792800.0,7584000.0,7315300.0,7583200.0,,off,사립
79,2019,대학교,사립,전남,기존,동신대학교,318000.0,6634300.0,6634300.0,5799100.0,6771900.0,6996200.0,7170000.0,8520000.0,off,사립
80,2019,대학교,사립,부산,기존,동아대학교,538000.0,6754900.0,6754900.0,5752100.0,6803900.0,7481600.0,7737000.0,9734000.0,off,사립
81,2019,대학교,사립,경북,기존,동양대학교,420000.0,7086300.0,7086300.0,5897300.0,7462000.0,8085900.0,7559600.0,,off,사립
82,2019,대학교,사립,부산,기존,동의대학교,360000.0,6580400.0,6580400.0,5427300.0,6583700.0,7036200.0,7419000.0,8093000.0,off,사립
83,2019,사이버대학(대학),사립,서울,기존,디지털서울문화예술대학교,300000.0,2648300.0,2648300.0,2641400.0,,2652400.0,,,on,사립
84,2019,대학교,사립,경기,기존,루터대학교,414000.0,6300000.0,6300000.0,6300000.0,,,,,off,사립
85,2019,대학교,사립,경기,기존,명지대학교,598000.0,9118200.0,9118200.0,,8240000.0,9442500.0,9176200.0,,off,사립
86,2019,대학교,사립,서울,기존,명지대학교 _제2캠퍼스,598000.0,6950400.0,6950400.0,6766100.0,,,9094000.0,,off,사립
87,2019,대학교,사립,대전,기존,목원대학교,454000.0,7204800.0,7204800.0,6400000.0,7173800.0,7975800.0,8050000.0,,off,사립
88,2019,대학교,사립,전남,기존,목포가톨릭대학교,288000.0,6465000.0,6465000.0,5623500.0,6812000.0,,,,off,사립
89,2019,대학교,국립,전남,기존,목포대학교,,3896300.0,3896300.0,3443400.0,4100600.0000000005,4147300.0,4244000.0,,off,국공립
90,2019,대학교,국립,전남,기존,목포해양대학교,,3409400.0,3409400.0,,,,3409400.0,,off,국공립
91,2019,대학교,사립,대전,기존,배재대학교,350000.0,7106100.0,7106100.0,6444000.0,7286700.0,7987000.0,7987000.0,,off,사립
92,2019,대학교,사립,충남,기존,백석대학교,438000.0,7768700.0,7768700.0,6960000.0,8360000.0,8976600.0,,,off,사립
93,2019,대학교,국립,부산,기존,부경대학교,,4042000.0,4042000.0,3411700.0,4110600.0000000005,4265500.0,4359300.0,,off,국공립
94,2019,대학교,사립,부산,기존,부산가톨릭대학교,318000.0,6767800.0,6767800.0,5917000.0,6972800.0,,7600000.0,,off,사립
95,2019,교육대학,국립,부산,기존,부산교육대학교,,3024000.0,3024000.0,3024000.0,3024000.0,3024000.0,,,off,국공립
96,2019,대학교,국립,부산,기존,부산대학교,,4415700.0,4415700.0,3439000.0,4614300.0,4735300.0,4728000.0,10100000.0,off,국공립
97,2019,사이버대학(대학),사립,부산,기존,부산디지털대학교,200000.0,2417500.0,2417500.0,2416700.0,,,2450000.0,,on,사립
98,2019,대학교,사립,부산,기존,부산외국어대학교,325000.0,6186500.0,6186500.0,5950700.0,,6810000.0,7762000.0,,off,사립
99,2019,대학교,사립,경남,기존,부산장신대학교,,5826300.0,5826300.0,5826300.0,,,,,off,사립
100,2019,사이버대학(대학),사립,서울,기존,사이버한국외국어대학교,300000.0,2770700.0,2770700.0,2770700.0,,,,,on,사립
101,2019,대학교,사립,서울,기존,삼육대학교,590000.0,7732000.0,7732000.0,6847100.0,7995100.0,8733200.0,8344000.0,,off,사립
102,2019,대학교,사립,서울,기존,상명대학교,630000.0,7664100.0,7664100.0,6757800.0,7984300.0,9160000.0,8680000.0,,off,사립
103,2019,대학교,사립,충남,기존,상명대학교 _제2캠퍼스,604000.0,8073800.0,8073800.0,6652000.0,8053100.0,8547900.0,8424000.0,,off,사립
104,2019,대학교,사립,강원,기존,상지대학교,535000.0,6974000.0,6974000.0,6190800.0,7334800.0,7337100.0,7878000.0,9654000.0,off,사립
105,2019,대학교,사립,서울,기존,서강대학교,658000.0,7947800.0,7947800.0,7220700.0,8436000.0,,9395400.0,,off,사립
106,2019,대학교,사립,서울,기존,서경대학교,557000.0,7860500.0,7860500.0,6582500.0,7700000.0,8674000.0,8360000.0,,off,사립
107,2019,대학교,국립,서울,기존,서울과학기술대학교,,5422300.0,5422300.0,4644000.0,5497300.0,5592200.0,5521200.0,,off,국공립
108,2019,교육대학,국립,서울,기존,서울교육대학교,,3088000.0,3088000.0,3088000.0,,,,,off,국공립
109,2019,대학교,사립,서울,기존,서울기독대학교,102000.0,7127900.0,7127900.0,6524500.0,,8298200.000000001,,,off,사립
110,2019,대학교,국립대법인,서울,기존,서울대학교,,6011800.0,6011800.0,5015500.0,6110800.0,7392800.0,5996000.0,9896300.0,off,국공립
111,2019,사이버대학(대학),사립,서울,기존,서울디지털대학교,300000.0,2089400.0,2089400.0,2091000.0,,2086900.0,,,on,사립
112,2019,사이버대학(대학),사립,서울,기존,서울사이버대학교,300000.0,2712000.0,2712000.0,2703700.0,,,2733900.0,,on,사립
113,2019,대학교,공립,서울,기존,서울시립대학교,,2391400.0,2391400.0,2044000.0,2409700.0,2919100.0,2701000.0,,off,국공립
114,2019,대학교,사립,경기,기존,서울신학대학교,542000.0,6835400.0,6835400.0,6506700.0,,8263000.0,,,off,사립
115,2019,대학교,사립,서울,기존,서울여자대학교,599000.0,7518700.0,7518700.0,6792500.0,8143400.0,9237600.0,,,off,사립
116,2019,대학교,사립,경기,기존,서울장신대학교,578000.0,7549300.0,7549300.0,6902800.0,,9568000.0,,,off,사립
117,2019,대학교,사립,서울,기존,서울한영대학교,300000.0,6797200.0,6797200.0,6619600.0,,8262500.0,,,off,사립
118,2019,대학교,사립,충북,기존,서원대학교,431000.0,6897500.0,6897500.0,6199600.0,7217200.0,7377600.0,7739900.0,,off,사립
119,2019,대학교,사립,충남,기존,선문대학교,456000.0,7565800.0,7565800.0,6693100.0,8049600.0,7820300.0,8207100.0,,off,사립
120,2019,대학교,사립,경기,기존,성결대학교,578000.0,7196100.0,7196100.0,6420000.0,,8778000.0,8104000.0,,off,사립
121,2019,대학교,사립,서울,기존,성공회대학교,568000.0,7047900.0,7047900.0,6855500.0,,,7468200.0,,off,사립
122,2019,대학교,사립,서울,기존,성균관대학교,640000.0,8373600.0,8373600.0,7563700.0,8752400.0,8845100.0,9114000.0,11338000.0,off,사립
123,2019,대학교,사립,서울,기존,성신여자대학교,632000.0,7759600.0,7759600.0,6740500.0,7964500.0,9347700.0,7918300.0,,off,사립
