,기준연도,학교종류,지역,학교,온라인,구분,입학금,수업료,등록금,인문사회,자연과학,예체능,공학,의학
147,2020,대학교,서울,연세대학교,off,사립,511000.0,9155128.9,9155128.9,8463780.4,9105567.3,9499789.5,9763860.7,12104000.0
148,2020,대학교,강원,연세대학교(미래) _분교,off,사립,511000.0,8404173.9,8404173.9,7519000.0,8350832.9,0.0,9324000.0,12104000.0
149,2020,대학교,경북,영남대학교,off,사립,284800.0,7409761.0,7409761.0,5826000.0,8242174.3,8810314.0,8150000.0,10662000.0
150,2020,대학교,경북,영남신학대학교,off,사립,220000.0,6070000.0,6070000.0,6070000.0,0.0,0.0,0.0,0.0
151,2020,대학교,경남,영산대학교,off,사립,219600.0,6781659.4,6781659.4,5765488.9,7194000.0,6598000.0,7358000.0,0.0
152,2020,대학교,부산,영산대학교 _제2캠퍼스,off,사립,219600.0,6382791.3,6382791.3,5432000.0,6969373.9,7057888.8,7358000.0,0.0
153,2020,대학교,전남,영산선학대학교,off,사립,0.0,2000000.0,2000000.0,2000000.0,0.0,0.0,0.0,0.0
154,2020,대학교,전북,예수대학교,off,사립,179600.0,6718651.2,6718651.2,5114000.0,6954000.0,0.0,0.0,0.0
155,2020,대학교,전북,예원예술대학교,off,사립,230000.0,8044870.0,8044870.0,0.0,0.0,8044870.0,0.0,0.0
156,2020,대학교,경기,예원예술대학교 _제2캠퍼스,off,사립,230000.0,8387272.7,8387272.7,0.0,0.0,8387272.7,0.0,0.0
157,2020,대학교,경기,용인대학교,off,사립,405000.0,7654329.6,7654329.6,6893952.8,7672000.0,7989051.2,0.0,0.0
158,2020,대학교,전북,우석대학교,off,사립,231600.0,6931621.2,6931621.2,5923926.2,7203716.7,7121334.7,7898000.0,9256000.0
159,2020,대학교,대전,우송대학교,off,사립,260000.0,7160461.4,7160461.4,7029469.3,7241301.8,7421015.4,7212302.6,0.0
160,2020,대학교,울산,울산과학기술원,off,국립,0.0,6167244.4,6167244.4,5300000.0,6288000.0,0.0,6288000.0,0.0
161,2020,대학교,울산,울산대학교,off,사립,273000.0,7297051.0,7297051.0,5750000.0,7483991.4,8404633.3,8126721.3,10918000.0
162,2020,대학교,전북,원광대학교,off,사립,229000.0,7451416.2,7451416.2,6060319.7,7709995.3,7600922.7,8037753.3,9736439.0
163,2020,사이버대학(대학),전북,원광디지털대학교,on,사립,233000.0,2778227.3,2778227.3,2772939.0,2784581.8,2786014.0,0.0,0.0
164,2020,대학교,경북,위덕대학교,off,사립,274000.0,7323679.3,7323679.3,6421017.0,7988000.0,8428000.0,7988000.0,0.0
165,2020,대학교,충북,유원대학교,off,사립,299200.0,7301552.4,7301552.4,6300000.0,7880000.0,7880000.0,7880000.0,0.0
166,2020,대학교,대전,을지대학교,off,사립,408000.0,9077610.8,9077610.8,0.0,8686149.6,0.0,0.0,10320500.0
167,2020,대학교,경기,을지대학교 _제2캠퍼스,off,사립,408000.0,8388399.1,8388399.1,7724333.3,8480346.0,8666563.4,8733882.4,0.0
168,2020,대학교,서울,이화여자대학교,off,사립,491400.0,8691551.1,8691551.1,7567674.0,9215987.9,9923103.3,9444553.5,12896000.0
169,2020,대학교,경남,인제대학교,off,사립,228000.0,7211184.7,7211184.7,5648652.0,7492201.2,7571640.0,7773494.9,9958000.0
170,2020,대학교,인천,인천가톨릭대학교,off,사립,0.0,5363000.0,5363000.0,5363000.0,0.0,0.0,0.0,0.0
171,2020,대학교,인천,인천가톨릭대학교 _제2캠퍼스,off,사립,356000.0,8302495.0,8302495.0,0.0,8490000.0,8234000.0,0.0,0.0
172,2020,대학교,인천,인천대학교,off,국립,0.0,4635946.8,4635946.8,4092000.0,4543158.8,4863836.2,5148000.0,0.0
173,2020,대학교,인천,인하대학교,off,사립,515000.0,7692173.4,7692173.4,6669137.1,7967217.2,8239731.2,8396866.8,10550000.0
174,2020,대학교,서울,장로회신학대학교,off,사립,444000.0,6615166.7,6615166.7,5750500.0,0.0,8344500.0,0.0,0.0
175,2020,대학교,광주,전남대학교,off,국립,0.0,4167056.5,4167056.5,3419577.4,4310533.2,4525349.1,4440000.0,6038571.4
176,2020,대학교,전남,전남대학교 _제2캠퍼스,off,국립,0.0,4066369.3,4066369.3,3438000.0,4100000.0,0.0,4391100.1,0.0
177,2020,대학교,전북,전북대학교,off,국립,0.0,4380786.5,4380786.5,3322000.0,4411354.8,4674980.0,4596000.0,8637500.0
178,2020,교육대학,전북,전주교육대학교,off,국립,0.0,3272000.0,3272000.0,3272000.0,3272000.0,3272000.0,0.0,0.0
179,2020,대학교,전북,전주대학교,off,사립,228000.0,6972454.4,6972454.4,6208978.9,7259354.8,7531493.8,7890000.0,0.0
182,2020,대학교,제주,제주대학교,off,국립,0.0,3832869.0,3832869.0,3230372.0,4172270.1,4244571.9,4347514.3,5602000.0
183,2020,대학교,광주,조선대학교,off,사립,253600.0,7036550.4,7036550.4,5791901.3,7571737.3,7262129.3,7678000.0,10680000.0
184,2020,대학교,충남,중부대학교,off,사립,240000.0,7188995.4,7188995.4,6615431.8,7270628.4,7778191.1,7584879.5,0.0
185,2020,대학교,서울,중앙대학교,off,사립,510000.0,7888959.2,7888959.2,6812000.0,8480914.6,8891162.8,9036000.0,10992000.0
186,2020,대학교,경기,중앙대학교 _제2캠퍼스,off,사립,510000.0,8672024.2,8672024.2,0.0,7938000.0,8965201.5,9036000.0,0.0
187,2020,대학교,경기,중앙승가대학교,off,사립,84000.0,1760000.0,1760000.0,1760000.0,0.0,0.0,0.0,0.0
188,2020,대학교,충북,중원대학교,off,사립,307000.0,7335809.5,7335809.5,6244235.7,7737196.8,7398000.0,7781471.4,0.0
189,2020,교육대학,경남,진주교육대학교,off,국립,0.0,3445600.0,3445600.0,3445148.9,3446585.9,3445034.0,0.0,0.0
190,2020,대학교,경기,차의과학대학교,off,사립,404000.0,7138781.7,7138781.7,6934000.0,7308520.5,0.0,0.0,0.0
